epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,4959.56,0.61141,0.45901,1.00498,0.88808,0.82159,0.9067,0.66986,1.04346,1.09692,1.28115,0.000198125,0.000198125,0.000198125
87,5013.68,0.53997,0.44479,0.97571,0.92111,0.80931,0.90773,0.6809,1.00248,1.07035,1.2418,0.00018575,0.00018575,0.00018575
88,5067.77,0.56677,0.43649,0.97823,0.90964,0.8083,0.90623,0.70077,1.01543,1.07833,1.25638,0.000173375,0.000173375,0.000173375
89,5123.65,0.55562,0.4455,0.98762,0.91376,0.8234,0.89931,0.6837,1.02544,1.1246,1.25094,0.000161,0.000161,0.000161
90,5175.55,0.54449,0.42808,0.96189,0.92191,0.84655,0.90638,0.69067,1.03287,1.14547,1.24747,0.000148625,0.000148625,0.000148625
91,5225.29,0.50291,0.39397,0.92152,0.89446,0.8573,0.911,0.68936,1.11127,1.14648,1.33985,0.00013625,0.00013625,0.00013625
92,5275.28,0.51474,0.3687,0.96595,0.9498,0.81005,0.90171,0.6707,1.14827,1.12323,1.43154,0.000123875,0.000123875,0.000123875
93,5325.08,0.47723,0.32109,0.91428,0.89749,0.82139,0.88495,0.66036,1.13102,1.14612,1.3979,0.0001115,0.0001115,0.0001115
94,5376.4,0.45553,0.293,0.91334,0.89801,0.82458,0.88418,0.6503,1.14688,1.15948,1.41219,9.9125e-05,9.9125e-05,9.9125e-05
95,5426.87,0.43198,0.3043,0.8942,0.90381,0.82621,0.86799,0.65456,1.09427,1.14386,1.34929,8.675e-05,8.675e-05,8.675e-05
96,5477.36,0.4342,0.30886,0.89694,0.90498,0.82224,0.87075,0.65925,1.05491,1.13507,1.29008,7.4375e-05,7.4375e-05,7.4375e-05
97,5526.69,0.44897,0.30245,0.91645,0.8981,0.83834,0.88648,0.66351,1.02775,1.12762,1.26873,6.2e-05,6.2e-05,6.2e-05
98,5576.66,0.42548,0.30963,0.90116,0.92916,0.79267,0.88572,0.66385,1.01536,1.13342,1.27097,4.9625e-05,4.9625e-05,4.9625e-05
99,5626.37,0.43021,0.30138,0.91164,0.89548,0.83774,0.8953,0.6759,1.01384,1.15199,1.27001,3.725e-05,3.725e-05,3.725e-05
100,5676.13,0.40306,0.2835,0.89336,0.89635,0.83957,0.89494,0.67427,1.00924,1.14834,1.26453,2.4875e-05,2.4875e-05,2.4875e-05
1,53.0716,1.16014,1.97476,1.33049,0.68769,0.78125,0.74684,0.563,0.94836,2.84954,1.2069,0.00024,0.00024,0.00024
1,130.246,1.13932,1.79514,1.31067,0.65319,0.65625,0.61842,0.33935,1.41044,3.73051,1.63411,0.000649123,0.000649123,0.000649123
2,218.078,1.32854,1.58684,1.41566,0.25678,0.76562,0.50017,0.2478,1.70641,14.021,2.08374,0.00130276,0.00130276,0.00130276
3,295.591,1.41007,1.60145,1.4985,0.06841,0.53125,0.07257,0.02737,2.43266,34.176,3.26107,0.0019432,0.0019432,0.0019432
